	Collaborative	Comments	Date	Day	Dogs	Equipment	Month	NoActivity	Other	Other_Activity	PhotoFiles	Power_Boats	Precipation	Precipitation	Ratio	Ratio_LESA	Ratio_WESA	RecordID	Sea_State	Site	SiteID	SiteName	Source	Survey Site	Tide_End	Tide_Start	Tide_State_End	Tide_State_Start	Time_End	Time_Start	Unpowered_Boat	Vis_Reason	Vis_Reason_Other	Visibility	Walkers	Weather	YES_NO_WESA_Obs	Year
244	Collaborative		2014-08-17 00:00:00	17.0	> 0	Both	8.0		Cyclists				None					BB122014817	Rippled	Boundary Bay 112	BB12		Manual				High-tide	Low-tide	12:15:00	10:00:00					> 0	Partly-Cloudy	I saw at least 1 WESA during the survey	2014.0
245	Collaborative		2014-08-18 00:00:00	18.0	> 0	Both	8.0		Cyclists				None					BB122014818	Rippled	Boundary Bay 112	BB12		Manual				High-tide	Mid-tide	14:05:00	12:00:00				1km	> 0	Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	2014.0
246	Single Observer		2014-07-19 00:00:00	19.0		Both	7.0						None					SDNY2014719	Choppy	Sidney Island	SDNY		Manual				Mid-tide	Mid-low 	10:12:00	07:50:00				1km		Overcast	I saw at least 1 WESA during the survey	2014.0
247	Single Observer		2014-07-20 00:00:00	20.0		Both	7.0						None					SDNY2014720	Rippled	Sidney Island	SDNY		Manual				Mid-tide	Mid-low 	16:00:00	13:05:00				1km	2	Partly-Cloudy	I saw at least 1 WESA during the survey	2014.0
248	Single Observer		2014-08-16 00:00:00	16.0		Spotting Scope	8.0					1.0	None			24	112	SDNY2014816	Rippled	Sidney Island	SDNY		Manual				Mid-high 	Mid-low 	17:45:00	15:00:00		Glare			3	Partly-Cloudy	I saw at least 1 WESA during the survey	2014.0
249	Single Observer		2014-08-15 00:00:00	15.0		Spotting Scope	8.0		10 children playing at campground beach				None					SDNY2014815	Rippled	Sidney Island	SDNY		Manual				Mid-tide	Mid-low 	16:30:00	14:10:00		Glare		500m	2	Overcast	I saw at least 1 WESA during the survey	2014.0
250	Independent	"Survey point & path were set ~20m back from actual shoreline, as defined in Methodology (ie from ""edge of vegetation"")"	2014-08-17 00:00:00	17.0	8	Binoculars	8.0		20bikes			0.0	None			0	0	BBSV2014817	Rippled	Boundary Bay Seaview	BBSV		Manual				High-tide	Mid-high 	12:30:00	10:00:00	2.0			250m	60	Partly-Cloudy	I saw at least 1 WESA during the survey	2014.0
251	Single Observer	"Possible typo in the Surveyor Package: it said to start at 12:00 but the tide was high by 1:30, ie 60min before our survey was scheduled to end!  ALSO they survey point & path were set ~20m back from actual shoreline, as defined in Methodology (ie from ""edge of vegetation"")"	2014-08-18 00:00:00	18.0	4	Binoculars	8.0		40bikes			0.0	None			0	0	BBSV2014818	Rippled	Boundary Bay Seaview	BBSV		Manual				High-tide	Mid-high 	13:30:00	12:00:00	0.0			250m	45	Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	2014.0
252	Single Observer		2014-07-19 00:00:00	19.0		Both	7.0						None					RBBP2014719	Rough	Roberts Bank	RBBP		Manual				Mid-high 	Low-tide	13:30:00	11:00:00		Glare		500m		Overcast	I saw at least 1 WESA during the survey	2014.0
253	Single Observer	Glare at end: had to see through heat haze	2014-07-20 00:00:00	20.0		Both	7.0						None					RBBP2014720	Calm	Roberts Bank	RBBP		Manual				Mid-high 	Mid-low 	14:30:00	12:30:00		Glare		500m		Overcast	I saw at least 1 WESA during the survey	2014.0
254	Collaborative		2014-08-16 00:00:00	16.0		Both	8.0						None			65/12	160/65	CROC2014816		Crockett Lake	CROC		Manual						09:35:00	07:35:00		Other	Heat Haze	500m		Partly-Cloudy	I saw at least 1 WESA during the survey	2014.0
255	Collaborative	Planned 6:30 am start but dense fog unable to survey too late, so began 900 in spite of fog. Couldn't see clearly beyond 150 ft. Breezy. Able to make out moving forms shorebirds to near side of green strip to NE	2014-08-17 00:00:00	17.0		Both	8.0				3 sets of 3 photos		None					CROC2014817		Crockett Lake	CROC		Manual						11:00:00	09:00:00		Weather	Fog, then heat shimmer	<100		Fog	I saw at least 1 WESA during the survey	2014.0
256			2014-07-19 00:00:00	19.0			7.0											WINT2014719		Winter Cove	WINT		Manual						09:30:00	07:00:00							I did not observe any Western Sandpipers during the entire survey	2014.0
257			2014-07-20 00:00:00	20.0			7.0											WINT2014720		Winter Cove	WINT		Manual						09:30:00	07:00:00							I did not observe any Western Sandpipers during the entire survey	2014.0
258	Single Observer		2014-07-20 00:00:00	20.0	1	Binoculars	7.0					1.0	None					ENBO2014720	Rippled	English Boom	ENBO		Manual				Mid-low 	Low-tide	10:40:00	08:21:00				1km	3	Overcast	I did not observe any Western Sandpipers during the entire survey	2014.0
259																							Manual															
260																							Manual															
261																							Manual															
262																							Manual															
263																							Manual															
264																							Manual															
265																							Manual															
266																							Manual															
267																							Manual															
268																							Manual															
269																							Manual															
270																							Manual															
271																							Manual															
272																							Manual															
273																							Manual															
274																							Manual															
275																							Manual															
276																							Manual															
277																							Manual															
278																							Manual															
279																							Manual															
280																							Manual															
281																							Manual															
282																							Manual															
283																							Manual															
284																							Manual															
285																							Manual															
286																							Manual															
287																							Manual															
288																							Manual															
289																							Manual															
290																							Manual															
291																							Manual															
292																							Manual															
293																							Manual															
294																							Manual															
295																							Manual															
296																							Manual															
297																							Manual															
298																							Manual															
299																							Manual															
300																							Manual															
301																							Manual															
302																							Manual															
303																							Manual															
304																							Manual															
305																							Manual															
306																							Manual															
307																							Manual															
308																							Manual															
309																							Manual															
310																							Manual															
311	Collaborative	For this site, the ponds are best from about a 6ft tide rising to a 10ft tide measured from the Everett tide table.  The extensive mud flats are completely covered at about 7ft.  This pushes the all the shore birds onto the ponds to feed and the falcons follow.  the specified time slot was about 2 hrs too early.	7/18	18		Both Binoculars and Scope	7	No activity						None				EIDE2014718	Calm	Eide Rd	EIDE		Online		mid ~ 5 ft	low ~ 3ft	Mid-low	Low-tide	18:30:00	16:00:00				1km		Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	
312	Collaborative	"Timing of the tide was good. Tide started approximately 400 meters from shore at 7:00AM. Tide ended approximately 20 meters from shore at end of survey at 9:30AM.

No shorebirds of any species observed, nor were any sandpiper tracks observed in mud near shore. Lots of Purple Martin (30+) and Great Blue Heron (13)."	7/19	19		Both Binoculars and Scope	7	No activity			EnglishBoom_2014_07_19_jpg			Rain	None			ENBO2014719	Rippled	English Boom	ENBO		Online		2 feet	0.5 feet	Mid-high	Low-tide	09:30:00	07:00:00				1km		Overcast	I did not observe any Western Sandpipers during the entire survey	
313	Independent 	"Flocks of WESA and other peeps never landed at the site, but flew over at these times: 16:36, 17:00, 17:07,18:00. We also observed a flock of ~60 Whimbrel that flew over the site at 16:43, and 2 large unidentified shorebirds (bigger than WESA) that landed briefly on the opposite shore (>500 m away) at 18:10.
The tide distance at the start was ~ 200 m. The tide distance at 18:15 was <0. The water level was half way up my rubber boots so we stopped the survey 15 minutes before the official end time. Eveling had already retreated up into the forest b/c she was just wearing sandals. The tide reached the shore where we were standing earlier than on the opposite shore of the bay but it appeared to be at the vegetation line over there when we left."	7/19	19		Both Binoculars and Scope	7			1 airplane fairly low	"All have extension "".JPG"" - 19Jul2014_JensenS_1600_749, 19Jul2014_JensenS_1600_750, 19Jul2014_JensenS_1600_751,19Jul2014_JensenS_1600_752,19Jul2014_JensenS_1730_757, 19Jul2014_JensenS_1730_758, 19Jul2014_JensenS_1745_761, 19Jul2014_JensenS_1745_762, 19Jul2014_JensenS_1745_763, 19Jul2014_JensenS_1745_764"			None				SJEN2014719	Calm	Jensens Bay - South	SJEN		Online		High	Low in the bay; Mid-tide overall	High-tide	Mid-low	18:15:00	16:00:00	2			500m		Overcast	I did not observe any Western Sandpipers during the entire survey	
314	Independent 	"We started the survey at 16:00 because we wanted to make sure we got 2.5 hours done before the tide was too high. (On the 19th of July at this site we had to abandon the survey 15 min early because the tide came in very high before the session was over.) As it turned out, the tide stayed low enough for us to continue up until 19:00 - the official end time.

We did not observe any falcons but we did see 2 Osprey fishing (many successful captures!) and 5 Bald Eagles.

It was a very enjoyable survey!"	7/20	20		Both Binoculars and Scope	7				"20Jul2014_JensenS_1725_765.JPG, 20Jul2014_JensenS_1725_766.JPG,
20Jul2014_JensenS_1725_767.JPG,
20Jul2014_Cailin_Xu.JPG
19Jul2014_Eveling_Tavera.JPG"			None				SJEN2014720	Calm	Jensens Bay - South	SJEN		Online		high	Low in the bay; Mid-tide overall	High-tide	Mid-low	19:00:00	16:00:00				500m	1	Overcast	I saw at least 1 WESA during the survey	
315	Independent 	"Just to clarify, at the site were Bruce and I (Nicki) and Alison. Bruce and I did our count together and Alison did a separate count.
The winds hampered our efforts because as I mentioned, it was diffucult to keep binoculars steady to survey. I'm sure we were seeing virtually all WESA but there were a couple of others species (likely Plover and also a large shorebird) in very tiny numbers"	7/19	19	3	Binoculars-only	7			some cyclists on the dyke	July 19 survey area boundary bay 104			None				BB042014719a	Choppy	Boundary Bay - 104th	BB04		Online				Mid-high	Mid-tide	01:30:00	11:00:00		Other	some glare and very windy	500m	1	Overcast	I saw at least 1 WESA during the survey	
316		"These forms do not seem to be organized to record the actual 
COUNT OF WESA or other PEEPS at the time they were
observed!"	7/18	18		Both Binoculars and Scope	7	No activity		"16:00 PM  2 Spotted Sandpipers
16:30 PM 3 Spotted Sandpipers"				None				COWC2014718	Rippled	Cowichan Bay	COWC		Online		mid-tide	mid-tide	Mid-tide	Mid-tide	17:00:00	15:00:00				1km		Overcast	I did not observe any Western Sandpipers during the entire survey	
317			7/19	19	1	Both Binoculars and Scope	7			"8:30 AM 3 SPSA
8:45 AM 3 SPSA
9:00 AM 5 WESA
9:15 AM 3 SPSA"				None				COWC2014719	Calm	Cowichan Bay	COWC		Online		mid-tide	mid-tide	Mid-tide	Mid-tide	09:30:00	07:30:00				1km		Overcast	I saw at least 1 WESA during the survey	
318			7/20	20		Both Binoculars and Scope	7	No activity		SPSA spotted at 8 AM, 8:15, 8:45, 9:15 and 9:30				None				COWC2014720	Calm	Cowichan Bay	COWC		Online		mid-tide	mid-tide	Mid-tide	Mid-tide	10:00:00	08:00:00				1km		Overcast	I did not observe any Western Sandpipers during the entire survey	
319			7/21	21		Both Binoculars and Scope	7	No activity		3 SPSA observed at 9:30 and 9:45				None				COWC2014721	Calm	Cowichan Bay	COWC		Online		mid-tide	mid-tide	Mid-tide	Mid-tide	11:00:00	09:00:00				1km		Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	
320	Independent 		7/20	20		Both Binoculars and Scope	7	No activity							3 WESA: 0 LESA			EIDE2014720	Calm	Eide Rd	EIDE		Online						10:00:00	07:30:00				<100		Overcast	I saw at least 1 WESA during the survey	
321	Independent 	"The most difficult thing I find is estimating the Tide Distance. It is virtually impossible. In such a flat environment as Boundary Bay, with heat shimmer and virtually no reference points, combined with the fact you can't actually see the tide edge, except when it's <200 m away, it's guesswork for me.

High winds, estimate Beaufort 6 would have had a significant effect on ability to count/estimate birds using a scope."	7/19	19		Binoculars-only	7			"Kite-powered, ""mud buggy"" riders present until 13:00. The kite used was like that of a kite surfer, and was flown for various periods of time, and the ""mud buggy"" would be dragged across the mud surface with two riders aboard. See attached photo.

Also, airshow in progress at Boundary Bay airport with aerobatic aircraft frequently in the air, trailing smoke and occasionally with loud engine noise. I don't think this would have had a significant impact on shorebirds. Other birds in the area such as Bald Eagles and Great Blue Herons seemed unaffected."	"Mud buggy
Mud buggy #2"			None				BB722014719		Boundary Bay - 72nd	BB72		Online		high tide	mid low	High-tide	Mid-low	13:45:00	11:00:00				1km		Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	
322		Most of the shore birds seen at Whiffin Spit tend to forage in the area where I saw the WESA.	7/20	20	11	Both Binoculars and Scope	7					10.0		None	79 WESA; 6 LESA			WHIF2014720	Rippled	Whiffin Spit Park	WHIF		Online		1.6 M	1.3 M	Mid-high	Mid-high	09:10:00	06:50:00	O			1km	21	Partly-Cloudy	I saw at least 1 WESA during the survey	
323	Single Observer		7/18	18		Both Binoculars and Scope	7	No activity			Boundary Bay 104th at mid-tide			None	Not possible			BB042014718	Choppy	Boundary Bay - 104th	BB04		Online		3.3m - mid-high	2.9 m - mid-tide	Mid-high	Mid-tide	11:30:00	09:00:00		Glare	haze	500m		Partly-Cloudy	I saw at least 1 WESA during the survey	
324			7/19	19	10	Both Binoculars and Scope	7			Please note......I am resubmitting these data as I made an error on my first submission for this date. I will mail the original copies to you. Sorry for the error.		11.0		None	0;0			WHIF2014719	Rippled	Whiffin Spit Park	WHIF		Online		1.8 M	1.5 M	Mid-high	Mid-high	09:05:00	06:50:00	0			1km	19	Overcast	I did not observe any Western Sandpipers during the entire survey	
325	Independent 		7/19	19		Both Binoculars and Scope	7	No activity		Very windy!				None	Not possible			BB042014719	Wavy	Boundary Bay - 104th	BB04		Online		3.3m mid-high	3.0m mid-tide	Mid-high	Mid-tide	13:30:00	11:00:00		Glare	Haze	500m		Overcast	I saw at least 1 WESA during the survey	
326	Single Observer		7/20	20		Both Binoculars and Scope	7	No activity						Rain	Not possible			BB042014720	Rippled	Boundary Bay - 104th	BB04		Online		3.5 m mid-high	3.0m mid-tide	Mid-high	Mid-tide	14:30:00	12:00:00				1km		Overcast	I saw at least 1 WESA during the survey	
327	Independent 	"It was only when birds were at closest point 200m that positive identifications could be made, and then not every individual.

At this location and throughout Boundary Bay LESA tend to be mostly separate from WESA because they forage higher up the beach in slightly drier habitats.

Earlier this week I had some very close looks at a flock of about 1000 peeps at 112th. Mixed in with the majority WESA were a number of Semipalmated Sandpipers, perhaps 1%, visible only with close scrutiny. The LESA seen that day were in small, single species flocks feeding slightly higher up the beach.

In the large flocks of peeps seen on July 20 there could have been numbers of SESA's mixed in, but they were not separable under the viewing conditions. Other birders in the area reported ""good numbers"" of SESA in the WESA flocks.

Regarding maps. The small maps supplied this time I found too difficult to use. Instead I used the air photo to mark the flock locations."	7/20	20		Both Binoculars and Scope	7	No activity							0 LESA:>5000 WESA/peeps			BB722014720	Rippled	Boundary Bay - 72nd	BB72		Online		high tide	mid low 	High-tide	Mid-low	14:30:00	12:15:00		Weather	Visibility varied due to squalls moving through	1km		Overcast	I saw at least 1 WESA during the survey	
328	Collaborative	"The shoreline is quite narrow and filling and emptying the lagoon may lag the tides as well as changing a lesser amount. The position of the water along the shore changed less than 1 m during the whole period. A shallow sandbar may have become more exposed later in the survey period near the Colwood Cr mouth, but it was not used much.
Some of the WESA were quite high in the intertidal, near the grasses. Even though the beach was quite rocky, they seemed to foraging between the stones.
We are quite confident that the ""peeps"" were all WESA because it appeared that the same flock was moving around the area (although not all visible at each count) and we could see that they were WESA when they were close. However, we recorded them as peeps when they were too far to confirm id.
A small separate flock of LESA was noted separately in the comments section."	7/19	19		Both Binoculars and Scope	7			"Walkers were only included if they were near the shore; none were actually on the beach. 

The tide level (in the lagoon) changed very little during the survey. Probably dropped slightly, but had very little effect on amount of  exposed beach."	"Esq Lag viewing site
Esq Lag area 1
Esq Lag area 2
Esq Lag area 3
Esq Lab area 4"			None				ESQU2014719	Rippled	Esquimalt Lagoon	ESQU		Online		mid-low	mid-low	Mid-low	Mid-low	09:30:00	07:00:00	1			1km	3	Overcast	I saw at least 1 WESA during the survey	
329	Collaborative		7/20	20		Both Binoculars and Scope	7			See note from July 19 re location of recorded walkers.	See July 19.			None				ESQU2014720		Esquimalt Lagoon	ESQU		Online		mid-low	mid-low	Mid-low	Mid-low	09:30:00	07:00:00				1km	1	Overcast	I saw at least 1 WESA during the survey	
330	Independent 	Survey times given for Deep Bay do not work as most of sand/mudflats are already inundated by times given.  Upper foreshore (close to high tide line) is covered by barnacles and rock; most of sand/mud flats are exposed only at lower tides.  Will be adjusting survey times for August accordingly to earlier in tidal cycle. 	7/21	21	2	Both Binoculars and Scope	7					4.0		None				DEEP2014721		Deep Bay	DEEP		Online		3.3	2	Mid-high	Mid-low	13:30:00	11:00:00				1km	4	Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	
331	Collaborative	"Noted that an observer reported 150 WESA and  20 LESA on Washington state's birder's listserve  ""Tweeters"" on Monday 21 July @ 1330.   We didn't know if anyone surveyed for the study Monday AM and observed any shorebirds.   
E birders reported numbers between 100-200  WESA  both before and after our survey dates.  "	7/19	19	1	Both Binoculars and Scope	7				"7.19.14 Eide Road.pdf1
7.19.14 Eide Road.pdf2"	0.0		Rain				EIDE2014719	Rippled	Eide Rd	EIDE		Online			N/A  * (same as English Boom)			09:30:00	07:00:00	0	Other	emergent vegetation surrounding ponds, otherwise visibility for flying birds was >250m 	<100	2	Overcast	I did not observe any Western Sandpipers during the entire survey	
332	Independent 	Some parts of data recording vague (Specify when you want tide line drawn), Date should be at beginning of form.	7/19	19	0	Both Binoculars and Scope	7			3 Clam diggers 	DSC0382, DSC0384, DSC0395, DSC0407,DSC0392,DSC0397	0.0		None				NANO2014719	Calm	Nanoose bay	NANO		Online		Mid tide	Low tide	Mid-tide	Low-tide	11:00:00	08:30:00	0			500m	0	Overcast	I did not observe any Western Sandpipers during the entire survey	
333	Independent 		7/20	20		Spotting scope	7			3 Clam Diggers	Photos submitted for July 19, 2014 were actually from this day			None	4 WESA to 0 LESA			NANO2014720	Calm	Nanoose bay	NANO		Online		Mid tide	Low tide	Mid-tide	Low-tide	00:00:00	09:30:00				500m		Overcast	I saw at least 1 WESA during the survey	
334	Collaborative	Very little shoreline along the edges of the bay - no shorebirds of any king.	7/19	19		Both Binoculars and Scope	7	No activity						None	n/a			PEDD2014719	Calm	Pedder Bay	PEDD		Online		1.6 metres	1.4 metres	Mid-high	Mid-high	09:30:00	07:00:00				1km		Overcast	I did not observe any Western Sandpipers during the entire survey	
335	Collaborative	One Least Sandpiper through through the survey area at 9:20 AM but landed outside the survey area at the end of the bay (not visible from our viewing spot.	7/20	20		Both Binoculars and Scope	7							None	n/a			PEDD2014720	Rippled	Pedder Bay	PEDD		Online		1.4 metres	1.2 metres	Mid-high	Mid-tide	09:30:00	07:00:00				1km	8	Partly-Cloudy	I did not observe any Western Sandpipers during the entire survey	
336	Collaborative	This year (2014), field forms were a lot easier to fill out and better organized. Well done!	7/19	19	0	Both Binoculars and Scope	7			Powered/non-powered boats were in mid-channel well away (>500m) 	DSCN0164; DSCN0165; DSCN0166	0.0		None				MAPL2014719	Rippled	Maplewood	MAPL		Online		High-tide	Mid-tide to mid-high	High-tide	Mid-high	13:35:00	11:00:00	0			1km	2	Overcast	I did not observe any Western Sandpipers during the entire survey	
337	Collaborative		7/20	20	0	Both Binoculars and Scope	7			powered/unpowered boats were well away in mid channel (beyond 500 m)	DSCN0167; DSCN0168	0.0		None				MAPL2014720	Rippled	Maplewood	MAPL		Online		High-tide	Mid-high	High-tide	Mid-high	14:33:00	12:00:00	0			1km	1	Overcast	I did not observe any Western Sandpipers during the entire survey	
338	Collaborative		7/19	19	7	Both Binoculars and Scope	7					0.0		None	0 WESA; 0 LESA			ISVI2014719	Choppy	Island View	ISVI		Online		Mid-high	Mid-tide	Mid-high	Mid-tide	10:30:00	08:02:00	0			1km	7	Overcast	I did not observe any Western Sandpipers during the entire survey	
339	Collaborative	A one or two page table would be lot more time efficient than this long process of entering data.  	7/19	19		Both Binoculars and Scope	7	No activity						None	32 WESA			FRCR2014719	Calm	French Creek	FRCR		Online		3 m	2.5 m	Mid-high	Mid-low	12:00:00	09:30:00				1km		Clear	I saw at least 1 WESA during the survey	
340	Collaborative	A one or two page table would a lot quicker to enter than this form.	7/20	20			7	No activity			French Cr 1 & 2			None	33 WESA, 1 LESA			FRCR2014720	Calm	French Creek	FRCR		Online		3.5	1.8 m	Mid-high	Mid-low	01:00:00	10:30:00				1km		Clear	I saw at least 1 WESA during the survey	
341	Independent 		7/19	19	1	Both Binoculars and Scope	7			Cyclists: 7				None	4 WESA; 2 LESA			SANM2014719	Rippled	San Malo Bay	SANM		Online		Mid-high	Low-tide	Mid-high	Low-tide	12:00:00	10:00:00				1km	4	Clear	I saw at least 1 WESA during the survey	
342	Independent 		7/20	20	2	Both Binoculars and Scope	7			Cyclists: 12				None	10 WESA; 20 LESA			SANM2014720	Calm	San Malo Bay	SANM		Online				Mid-high	Low-tide	13:00:00	11:00:00	2			1km	6	Overcast	I saw at least 1 WESA during the survey	
343	Single Observer	Found the measuring of tides to be awkward as I had to measure using my stride.  Maybe suggest placing a stake at the waters edge and measure from that.  The Google map was good visually but the other map was confusing and appeared inaccurate.  For this area suggest planning the count closer to the high tide due to the rocky shore, there is more activity once the water has covered all the rocks. 	8/16	16	19	Both Binoculars and Scope	8			Salmon fishing is very good right now, seemed like non stop boats entering and leaving Sooke Harbour	to follow	33.0		None	5 WESA 2 LESA			WHIF2014816	Rippled	Whiffin Spit Park	WHIF		Online		14 meters	15 meters	Mid-tide	Mid-low	14:30:00	12:00:00	3	Weather	Foggy in the distance	500m	84	Overcast	I saw at least 1 WESA during the survey	
344	Single Observer		8/17	17	17	Both Binoculars and Scope	8					21.0			4 WESA 2 LESA			WHIF2014817	Calm	Whiffin Spit Park	WHIF		Online		15 meters	16 meters	Mid-tide	Mid-low	09:30:00	07:00:00	1	Weather		<100	30	Fog	I saw at least 1 WESA during the survey	
345	Collaborative	Timing for this site is off.  The site is best at 7 ft and above.  At 7 ft all of the other mud in the vicinity is covered and it leaves these normally very shallow ponds as the only available feeding habitat in the area.  Record rains this week completely filled the ponds resulting in water too deep for the WESA to feed.	8/15	15		Both Binoculars and Scope	8	No activity						None	150, 0 			EIDE2014815	Calm	Eide Rd	EIDE		Online		6'	3'	Mid-low	Low-tide	17:30:00	15:00:00				1km		Overcast	I saw at least 1 WESA during the survey	
346	Collaborative	These are brackish ponds that are recharged by seepage through a leaky dike at 10 ft+ tides.  Not directly influenced by tide.	8/17	17		Both Binoculars and Scope	8	No activity						None	8, 0			EIDE2014817	Calm	Eide Rd	EIDE		Online		6 ft	2 ft	Mid-low	Low-tide	09:30:00	07:00:00		Weather		100m		Fog	I saw at least 1 WESA during the survey	
347	Collaborative		8/16	16		Both Binoculars and Scope	8	No activity			Left1 thru 9			None	4 WESA; 1 LESA 			FRCR2014816	Rippled	French Creek	FRCR		Online		3.9 m	3.2 m	Mid-high	Mid-low	10:00:00	07:30:00				1km		Partly-Cloudy	I saw at least 1 WESA during the survey	
348	Single Observer	Would be more accurate & interesting to put the observer station closer to where the birds are foraging - i.e., maybe at the south end of the bay if the landowner would give permission for access... but I guess you'll want to stay consistent between years.	8/16	16		Both Binoculars and Scope	8			Can hear hammering at nearby residence	No photos taken - sorry, forgot camera			None				SJEN2014816	Calm	Jensens Bay - South	SJEN		Online		High-tide	Mid-low	High-tide	Mid-low	17:15:00	15:00:00		Other	intermittent fog	500m		Partly-Cloudy	I saw at least 1 WESA during the survey	
349	Collaborative		8/17	17	1 dog	Both Binoculars and Scope	8				Same area as the day before. 			None	6 WESA; 1 LESA 			FRCR2014817	Calm	French Creek	FRCR		Online		3.9 m	2.3	Mid-high	Mid-low	11:00:00	08:30:00				1km	1 walker	Clear	I saw at least 1 WESA during the survey	
350	Collaborative	Fog was intermittent making it sometimes difficult to count birds. It was also difficult to see birds when they were partway up the beach because they were on the opposite side of the bay and there were a few rocks and other undulations in the way.	8/17	17		Both Binoculars and Scope	8			2 float planes - 1 flew over the bay, the other flew further away but noise was loud; both times flocks lifted from the mudflats.	"17Aug2014_SJensens_917
17Aug2014_SJensens_918
17Aug2014_SJensens_919
17Aug2014_SJensens_921
17Aug2014_SJensens_922
17Aug2014_SJensens_923
17Aug2014_SJensens_925
17Aug2014_SJensens_926
17Aug2014_SJensens_927
17Aug2014_SJensens_928
17Aug2014_SJensens_929
17Aug2014_SJensens_930
17Aug2014_SJensens_931
17Aug2014_SJensens_932
17Aug2014_SJensens_933
17Aug2014_SJensens_934
17Aug2014_SJensens_935
17Aug2014_SJensens_936
17Aug2014_SJensens_937
17Aug2014_SJensens_938
17Aug2014_SJensens_939
17Aug2014_SJensens_940
17Aug2014_SJensens_941
17Aug2014_SJensens_942"			None				SJEN2014817	Calm	Jensens Bay - South	SJEN		Online		high-tide	mid-tide	High-tide	Mid-tide	18:00:00	16:00:00		Other	intermittent fog	500m		Clear	I saw at least 1 WESA during the survey	
351	Collaborative	the 11:20 falcon attack was 2 falcons flying behind us with one continuing on east and one heading toward the water in front of us for the attack.	8/16	16	5	Binoculars-only	8			1 car	aug 16 boundary bay 92 maps			None				BB922014816	Calm	Boundary Bay - 92nd	BB92		Online				Mid-low	Low-tide	11:30:00	09:00:00		Other	fog	500m	10	Overcast	I saw at least 1 WESA during the survey	
352	Independent 	The site is mostly small pebbles with some mud at low tide. Very large tidal flats, very low activity at this time of year.	8/15	15		Both Binoculars and Scope	8			About 12 people digging clams				Snow	0			NANO2014815	Calm	Nanoose bay	NANO		Online		3.5	2.3m	Mid-high	Mid-low	19:00:00	16:30:00				1km		Overcast	I did not observe any Western Sandpipers during the entire survey	
353	Independent 		8/16	16			8			Clam or oyster diggers				None	6 WESA			NANO2014816	Calm	Nanoose bay	NANO		Online		3.7m	2.4m	Mid-high	Mid-low	10:00:00	07:30:00				1km		Overcast	I saw at least 1 WESA during the survey	
354	Independent 		8/17	17			8			clam or oyster diggers				None	0			NANO2014817	Calm	Nanoose bay	NANO		Online		3.6m	2.4m	Mid-high	Mid-low	11:00:00	08:30:00				1km		Clear	I did not observe any Western Sandpipers during the entire survey	
355	Independent 	The PEFA was on the perch for only 5 minutes.	8/17	17	1	Both Binoculars and Scope	8			Walkers/dog were there at 0920 am				None				ENBO2014817	Rippled	English Boom	ENBO		Online		high tide	mid-tide	High-tide	Mid-tide	09:30:00	07:00:00				100m	5	Fog	I did not observe any Western Sandpipers during the entire survey	
356	Collaborative		8/15	15		Both Binoculars and Scope	8			15:17 Plane flying over the site	None			None	90 WESA; 10 LESA			SJEN2014815	Calm	Jensens Bay - South	SJEN		Online		High	Mid-high	High-tide	Mid-high	15:45:00	14:45:00				500m		Overcast	I saw at least 1 WESA during the survey	
357	Collaborative		8/17	17		Both Binoculars and Scope	8	No activity						None	unknown			COWC2014817	Calm	Cowichan Bay	COWC		Online		mid-high	mid-low	Mid-high	Mid-low	09:30:00	07:00:00				1km		Clear	I saw at least 1 WESA during the survey	
358	Collaborative		8/16	16	0	Both Binoculars and Scope	8					0.0		None				ESQU2014816	Rippled	Esquimalt Lagoon	ESQU		Online		mid-low	mid-low	Mid-low	Mid-low	15:30:00	13:00:00	0			1km	12	Overcast	I saw at least 1 WESA during the survey	
359	Collaborative	Observations in A1 were made by walking along the shore for a better view at each sampling period.	8/17	17		Both Binoculars and Scope	8							None				ESQU2014817	Calm	Esquimalt Lagoon	ESQU		Online		mid-low	mid-low	Mid-low	Mid-low	09:30:00	07:00:00	1 (but quite far from shore)		some glare looking east	1km	1	Clear	I saw at least 1 WESA during the survey	
360	Collaborative		7/20	20	32	Both Binoculars and Scope	7			2 horse and riders on the sandbar		0.0		None	0 WESA; 0 LESA			ISVI2014720		Island View	ISVI		Online		Mid-low	low-tide		Low-tide	10:30:00	08:00:00	0			1km	54	Overcast	I did not observe any Western Sandpipers during the entire survey	
361	Collaborative		7/21	21	2	Both Binoculars and Scope	7							None	3 WESA			ISVI2014721	Rippled	Island View	ISVI		Online		mid-low tide	low tide	Mid-low	Low-tide	10:30:00	08:00:00				1km	3	Partly-Cloudy	I saw at least 1 WESA during the survey	
362	Collaborative		8/16	16	1	Binoculars-only	8					2.0			47 WESA; 0 LESA			ISVI2014816	Rippled	Island View	ISVI		Online		Mid-high	Mid-high	Mid-high	Mid-high	11:00:00	10:00:00	0			1km	3	Overcast	I saw at least 1 WESA during the survey	
